Google Flu Trends - United States,,,
Copyright 2015 Google Inc.,,,
,,,
Exported data may be used for any purpose,,,
If you choose to use the data,,,
,,,
Each week begins on the Sunday (Pacific Time) indicated for the row.,,,
Data for the current week will be updated each day until Saturday (Pacific Time).,,,
Note: To open these files in a spreadsheet application,,,
For more information,,,
,,,
Date,"Bellevue, WA","Seattle, WA","Spokane, WA"
2012-11-04,1549,2831,1920
2012-11-11,1777,3302,2060
2012-11-18,1926,3043,2045
2012-11-25,1972,3305,2098
2012-12-02,2279,2924,2356
2012-12-09,2626,3532,2758
2012-12-16,2840,3923,3008
2012-12-23,3416,5960,3171
2012-12-30,4335,8079,4143
2013-01-06,6479,10100,8257
2013-01-13,8547,12060,10764
2013-01-20,8104,11956,11691
2013-01-27,7728,9288,10529
2013-02-03,6120,6815,7864
2013-02-10,5152,5203,7102
2013-02-17,4060,4626,5773
2013-02-24,3327,3824,4970
2013-03-03,2899,3277,3976
2013-03-10,2644,2810,3525
2013-03-17,2386,2358,2835
2013-03-24,2287,2549,2489
2013-03-31,2038,2223,2305
2013-04-07,1904,2143,2071
2013-04-14,1827,1878,1877
2013-04-21,1697,1824,1848
2013-04-28,1604,1736,1758
2013-05-05,1475,1503,1574
2013-05-12,1354,1467,1498
2013-05-19,1247,1318,1370
2013-05-26,1190,1211,1338
2013-06-02,1151,1195,1254
2013-06-09,1088,1046,1113
2013-06-16,1029,1161,1026
2013-06-23,995,1032,938
2013-06-30,939,855,885
2013-07-07,906,847,815
2013-07-14,864,871,752
2013-07-21,825,890,721
2013-07-28,617,736,634
2013-08-04,623,665,609
2013-08-11,600,638,595
2013-08-18,576,778,740
2013-08-25,552,567,801
2013-09-01,504,1013,778
2013-09-08,488,919,788
2013-09-15,521,1237,840
2013-09-22,532,1118,884
2013-09-29,552,1186,895
2013-10-06,560,1308,856
2013-10-13,634,1174,854
2013-10-20,667,1369,1117
2013-10-27,728,1161,1167
2013-11-03,747,1389,1223
2013-11-10,968,1104,1112
2013-11-17,1108,1102,1124
2013-11-24,1019,1144,1191
2013-12-01,1123,1642,1228
2013-12-08,1229,1720,1617
2013-12-15,1679,2942,2618
2013-12-22,1814,4749,4182
2013-12-29,2731,5145,6000
2014-01-05,5922,6018,5349
2014-01-12,5328,4439,3957
2014-01-19,4106,3384,3718
2014-01-26,3878,2933,3606
2014-02-02,3031,2330,2858
2014-02-09,2964,2249,2095
2014-02-16,2475,2117,1747
2014-02-23,2225,1780,1444
2014-03-02,1908,1785,1333
2014-03-09,1696,1449,1470
2014-03-16,1557,1186,1546
2014-03-23,1365,1323,1495
2014-03-30,1275,1034,1461
2014-04-06,1116,1044,1433
2014-04-13,1029,842,1269
2014-04-20,963,1019,1196
2014-04-27,867,1158,1045
2014-05-04,843,1037,1153
2014-05-11,787,1076,1127
2014-05-18,792,1093,1021
2014-05-25,753,847,1047
2014-06-01,744,822,1068
2014-06-08,721,950,1066
2014-06-15,685,861,1005
2014-06-22,679,921,1094
2014-06-29,664,819,1037
2014-07-06,636,789,916
2014-07-13,619,582,929
2014-07-20,629,801,868
2014-07-27,627,855,800
2014-08-03,613,657,756
2014-08-10,603,510,717
2014-08-17,579,734,679
2014-08-24,557,850,692
